gene	BB9	BB10	BB17	BB19	BB20	BB21	BB11	BB12	BB18	reflen
yehT.t01	1142.72	1222.6	1454.06	611.376	569.703	526.513	561.034	598.762	565.229	720
yehU.t01	1789.25	2067.85	2824.84	1429.12	1296.86	1140.27	1616.22	1287.44	1248.59	1686
yehW.t01	244.011	335.394	424.639	354.711	293.855	435.109	314.275	456.857	306.607	732
yehX.t01	401.928	380.245	381.582	460.612	491.86	410.401	392.414	508.892	377.139	927
yehY.t01	473.206	428.648	507.408	559.497	618.964	648.223	569.544	705.121	595.173	1158
yeiB.t01	542.082	542.796	537.743	512.906	565.167	633.265	561.933	780.111	656.623	1158
yeiE.t01	449.553	443.563	501.431	456.664	485.128	504.158	423.823	539.668	462.495	882
yeiG.t01	722.201	739.178	980.169	1108.56	1038.19	1084.94	1317.35	942.646	1123.71	837
yeiH.t01	663.655	568.689	566.881	619.036	650.348	592.999	639.7	758.574	598.665	1050
yeiI.t01	599.056	502.996	544.008	550.703	582.842	709.957	570.701	717.116	508.382	1089
yeiL.t01	382.569	317.342	471.836	256.448	318.84	399.854	439.198	410.571	265.82	660
yeiP.t01	983.509	1132.98	1266.27	679.171	521.947	554.53	468.552	425.833	437.738	573
yeiQ.t01	881.871	1012.41	1412.19	1142.19	1122.28	1126.18	1175.3	1201.16	950.24	1467
yeiR.t01	816.247	776.531	897.969	908.913	972.189	835.956	840.902	746.059	849.19	987
yeiS.t01	257.873	214.654	374.978	254.143	179.8	268.526	152.473	154.94	179.271	240
yeiW.t01	167.818	190.259	292.255	270.499	230.141	180.001	162.055	160.62	203.834	255
yejA.t01	1263.05	1217.98	1377.91	1345.54	1233.31	1392.56	1224.74	1626.04	1442.72	1815
yejB.t01	646.616	551.975	724.178	532.535	615.26	807.511	515.883	772.744	669.882	1095
yejE.t01	568.872	591.361	516.479	573.316	579.124	477.394	481.565	667.952	615.966	1026
yejF.t01	1426.38	1440.2	1845.82	1405.19	1558.39	1298.64	1367.7	1178.87	1231.65	1590
yejG.t01	171.849	163.633	245.474	173.399	218.302	232.698	218.709	242.1	160.038	345
yejH.t01	1064.03	1118.9	1151.05	997.879	1048.51	1037.33	1128.78	1206.13	1102.22	1761
yejK.t01	3949.82	4292.43	4775.74	2181.79	2402.15	1985.53	1878.19	1557.27	1884.76	1008
yejL.t01	505.453	524.179	599.049	429.63	456.983	454.425	269.92	241.096	193.477	228
yejM.t01	1513.44	1427.47	1885.26	1366.73	1552.87	1293.07	1535.73	1428.33	1407.46	1761
yfaA.t01	811.966	691.782	678.693	631.688	743.63	784.127	835.205	1065.28	837.016	1689
yfaD.t01	478.945	438.655	563.193	372.281	500.296	513.553	412.303	572.064	430.791	900
yfaE.t01	108.097	95.7097	186.652	88.2902	154.805	114.303	123.325	141.268	189.396	255
yfaL.t01	1787.29	1480.38	1823.17	1702.74	1715.79	1780.48	1806.2	2318.1	1993.16	3753
yfaP.t01	327.839	302.546	354.189	288.577	326.999	392.483	371.897	453.676	304.095	777
yfaQ.t01	697.935	598.399	696.143	607.832	553.101	825.934	743.879	911.721	791.165	1650
yfaT.t01	261.132	269.371	311.822	293.621	283.511	305.182	335.909	301.705	212.532	624
yfaY.t01	514.576	515.559	664.656	659.109	521.473	476.321	600.854	704.347	624.077	1203
yfaZ.t01	956.104	944.695	1078.48	434.007	404.151	262.33	411.901	253.802	293.822	543
yfbK.t01	738.839	679.287	609.965	519.496	645.617	716.619	725.722	994.4	820.663	1728
yfbL.t01	393.774	414.91	425.51	333.224	400.059	398.229	439.896	413.127	342.411	972
yfbM.t01	227.667	214.5	289.436	152.838	228.086	200.604	258.365	244.62	191.776	504
yfbN.t01	294.251	304.151	260.952	164.863	310.351	300.887	301.27	439.008	200.49	717
yfbO.t01	176.268	160.042	253.859	164.77	178.454	152.273	185.734	217.642	213.016	423
yfbP.t01	384.201	360.124	443.746	399.179	407.309	423.21	471.267	444.26	303.032	849
yfbR.t01	326.68	354.937	446.708	411.592	471.157	352.367	383.279	242.795	254.266	600
yfbS.t01	861.03	874.127	948.896	825.255	788.073	925.473	888.73	1037.19	831.979	1833
yfbT.t01	589.091	530.833	634.338	579.524	670.725	565.27	540.721	329.073	398.161	651
yfbU.t01	1686.5	1513.41	1452.15	1317.42	1450.93	1039.49	878.774	452.209	701.103	495
yfbV.t01	339.222	327.562	359.307	403.767	352.606	289.975	356.96	267.256	344.936	456
yfcA.t01	572.625	540.212	638.469	501.58	483.449	515.163	409.739	463.913	497.291	810
yfcC.t01	672.061	637.504	774.387	564.328	575.145	591.307	610.803	674.665	777.528	1521
yfcD.t01	480.601	463.333	565.524	625.422	529.152	527.205	319.841	340.151	357.288	543
yfcE.t01	2689.02	3012.53	2764.55	2311.74	2462.88	1511.22	1155.33	631.079	1142.43	555
yfcF.t01	343.546	276.69	437.921	325.677	417.485	368.354	395.249	316.558	274.836	645
yfcG.t01	260.321	235.091	334.976	430.606	354.746	321.137	237.101	322.805	291.073	648
yfcH.t01	967.317	872.459	1287.45	1068.37	1012.23	974.675	794.018	651.324	611.145	894
yfcI.t01	622.857	584.695	774.694	819.965	754.324	854.856	809.684	747.815	554.517	891
yfcJ.t01	582.579	530.635	585.421	564.144	497.729	530.516	431.416	559.506	607.641	1179
yfcL.t01	253.656	284.887	344.412	223.923	224.546	165.803	182.749	159.539	341.396	279
yfcO.t01	759.906	783.096	832.102	855.02	848.929	754.705	702.12	569.632	660.95	822
yfcP.t01	256.89	247.303	201.415	237.268	280.353	186.837	242.974	248.075	291.243	540
yfcQ.t01	252.916	242.351	186.131	137.703	176.076	193.353	180.007	206.328	230.836	489
yfcR.t01	225.35	220.718	192.693	156.498	238.108	258.092	195.744	286.684	171.23	513
yfcS.t01	350.579	397.7	354.074	294.498	222.967	290.344	404.359	494.604	289.172	753
yfcV.t01	229.528	273.299	307.22	141.4	160.014	229.609	253.584	307.892	245.454	564
yfcZ.t01	187.361	168.522	105.25	178.881	194.729	115.24	204.647	140.961	144.584	285
yfdC.t01	563.675	517.393	605.527	623.164	717.663	568.31	625.984	648.619	596.482	933
yfdE.t01	669.233	702.358	680.074	428.528	418.717	667.318	672.972	850.683	462.634	1146
yfdF.t01	489.3	596.759	412.716	297.261	374.678	582.159	655.857	663.764	462.189	1059
yfdK.t01	217.427	168.16	208.874	123.98	125.505	167.237	270.471	232.923	153.373	441
yfdN.t01	193.63	226.995	207.98	186.296	187.769	227.029	254.807	264.57	216.735	495
yfdP.t01	211.357	186.23	182.422	99.062	94.7154	166.109	193.046	178.781	185.134	363
yfdQ.t01	460.024	413.5	485.546	297.82	416.323	362.866	440.426	515.904	408.025	825
yfdR.t01	252.346	229.391	153.884	167.302	204.806	137.312	307.936	301.774	217.04	537
yfdS.t01	191.183	163.099	204.782	90.9202	126.542	126.674	132.813	176.167	115.83	363
yfdT.t01	160.736	133.776	218.721	116.018	93.7826	146.037	110.587	174.242	94.6051	306
yfdV.t01	483.767	440.175	508.601	314.556	398.301	564.162	511.217	606.534	335.726	945
yfdX.t01	350.648	339.123	282.006	274.081	266.986	233.385	261.631	437.684	252.236	636
yfdY.t01	203.434	198.93	208.361	258.421	312.078	279.017	209.28	136.897	186.196	243
yfeA.t01	1540.4	1468.73	1690.25	1238.54	1218.4	1341.52	1533.72	1785.09	1270.68	2190
yfeC.t01	1006.79	1007.37	1552.65	791.72	886.008	861.33	1621.01	730.731	653.42	345
yfeD.t01	306.512	263.244	279.87	227.357	277.576	241.473	309.358	248.014	296.077	393
